stat08,semel,sa,eligible,voted,valid,disq,n_ballots,אמת,אר,ב,ג,ד,ה,ו,זך,חי,ט,ים,ינ,יק,כן,ל,מחל,מרצ,נ,נפ,נץ,נר,עם,פ,פח,פי,פק,ץ,צי,ק,קנ,קפ,קץ,רק,שס
5110001,511,1,3656,1515,1470,45,6,141,0,27,1,312,1,673,0,1,3,7,0,1,48,1,10,37,0,0,1,0,200,2,0,0,0,1,0,0,0,0,0,1,2
6870001,687,1,556,438,437,1,1,74,0,2,1,0,13,0,3,2,6,0,0,1,214,16,64,30,1,0,0,0,0,0,0,0,0,0,1,0,6,0,1,2,0
5460001,546,1,517,235,233,2,1,62,0,0,3,25,0,2,0,0,0,0,0,0,22,44,72,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2730001,273,1,447,295,293,2,1,96,0,1,0,0,2,1,0,0,2,0,0,2,126,13,22,25,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
20420001,2042,1,438,282,281,1,1,80,0,0,0,0,8,0,0,0,0,0,0,0,117,8,18,43,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3
4360001,436,1,698,404,403,1,2,52,0,1,0,0,5,3,1,0,0,0,0,0,139,12,17,163,0,0,0,0,0,2,0,0,0,1,1,0,4,0,0,1,1
12400001,1240,1,572,448,448,0,1,96,0,2,1,0,10,4,0,0,8,0,0,0,176,47,64,32,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,4,0
740001,74,1,345,236,236,0,1,46,0,3,0,0,20,1,0,1,1,0,0,2,90,5,17,44,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,1
1670001,167,1,654,507,507,0,2,141,0,0,0,0,4,7,1,0,1,1,0,0,101,8,14,221,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,3,0
2890001,289,1,640,469,469,0,2,122,0,0,0,0,7,1,0,0,0,0,0,0,131,4,6,188,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2
3830001,383,1,419,325,324,1,1,18,0,142,0,0,16,1,0,0,37,0,0,1,19,1,81,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3
3670001,367,1,481,323,322,1,1,20,0,14,4,0,1,0,1,5,13,0,0,0,86,48,100,5,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,19
2700001,270,1,771,492,487,5,2,148,0,3,0,0,4,2,0,0,0,0,0,1,132,8,11,173,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0
6760001,676,1,304,187,185,2,1,62,0,2,0,0,2,0,0,0,0,0,1,1,90,6,13,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0
1570001,157,1,818,656,650,6,2,229,0,1,0,0,7,5,1,1,3,0,0,1,283,32,51,32,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
45030001,4503,1,195,119,119,0,1,32,0,1,0,0,1,1,1,0,2,0,0,1,40,9,19,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0
13200001,1320,1,113,46,45,1,1,2,0,0,0,14,0,14,0,0,1,0,0,0,0,1,0,2,0,0,0,0,6,0,0,0,0,2,1,0,0,0,0,0,2
890001,89,1,543,387,384,3,2,144,0,1,0,0,4,4,2,2,1,0,0,0,158,13,31,19,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0
820001,82,1,670,475,473,2,2,211,0,2,3,0,8,0,0,0,18,0,0,0,128,14,37,47,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
8060001,806,1,458,349,349,0,1,120,0,3,0,0,5,4,0,0,7,0,0,0,156,8,14,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
8130001,813,1,503,366,364,2,1,84,2,13,0,0,7,0,1,0,11,0,0,0,59,21,103,4,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,1,53
4260001,426,1,354,264,262,2,1,132,0,0,0,0,11,0,2,0,2,0,0,1,69,13,9,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
5320002,532,2,6374,3562,3538,24,10,28,0,0,2,892,1,1255,1,0,2,8,1,1,18,0,27,8,1,0,0,2,1210,12,0,0,0,3,3,2,2,1,1,0,57
5210001,521,1,1025,436,385,51,2,27,0,1,0,47,0,49,0,0,1,0,0,0,6,1,3,53,0,0,0,0,177,2,0,1,2,0,1,7,0,2,1,0,4
2230001,223,1,334,248,247,1,1,43,0,1,0,0,23,2,1,0,2,0,0,0,128,4,18,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
6220001,622,1,725,587,586,1,2,13,0,175,3,0,22,0,0,0,261,0,0,0,8,7,78,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,11
5140001,514,1,448,194,189,5,1,7,0,0,0,74,0,44,0,0,0,2,0,0,5,3,1,11,0,0,0,0,39,1,0,1,0,0,0,0,0,0,0,0,1
1390001,139,1,592,415,410,5,2,71,0,3,0,0,7,5,0,0,1,0,0,0,129,11,12,168,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
8800001,880,1,840,599,592,7,2,71,1,5,40,0,5,4,0,1,7,0,0,0,224,26,139,31,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,6,27
12510001,1251,1,115,78,78,0,1,10,0,1,0,0,1,0,0,0,0,0,0,0,41,7,11,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0
8710001,871,1,438,344,341,3,1,130,1,0,0,0,7,0,2,1,3,0,0,0,128,10,20,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2
4940005,494,5,17253,7735,7630,105,27,2266,2,3,8,735,8,368,25,11,17,4,0,2,1538,447,1206,233,0,1,2,1,49,53,0,4,3,3,7,15,37,3,27,5,547
76000032,7600,32,6162,3539,3438,101,10,150,0,30,2,1220,3,643,13,4,29,2,0,1,307,304,337,23,2,0,3,0,173,0,0,1,1,7,6,8,6,0,3,2,158
76000015,7600,15,6933,4205,4164,41,11,146,0,129,22,280,4,154,10,6,175,0,1,0,567,799,1227,24,2,0,0,1,68,1,0,0,1,4,3,1,7,1,1,11,519
76000035,7600,35,910,570,561,9,2,20,1,7,4,3,0,1,4,0,25,0,0,0,91,177,157,3,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,62
76000014,7600,14,1918,1291,1289,2,3,48,0,32,1,9,4,12,3,1,47,0,1,1,243,291,421,9,0,0,0,0,3,1,0,0,1,0,1,2,1,1,1,3,152
76000013,7600,13,4313,2562,2493,69,7,88,2,26,13,143,5,95,6,0,57,0,5,3,307,794,636,3,0,0,2,0,37,1,0,0,2,2,1,5,5,3,1,7,244
76000024,7600,24,1748,927,897,30,3,34,0,10,6,160,0,80,3,1,9,0,0,0,92,254,131,6,0,1,0,1,17,0,0,1,0,0,1,4,3,0,0,0,83
76000025,7600,25,5424,2803,2722,81,9,90,0,11,18,452,4,254,7,1,29,0,0,3,254,651,511,9,0,0,0,1,93,4,0,1,1,5,1,3,7,0,0,1,311
76000031,7600,31,1887,1129,1095,34,3,80,0,4,2,292,0,205,5,2,12,0,0,0,118,87,180,10,0,0,0,0,41,1,0,0,1,1,0,3,1,0,0,2,48
76000033,7600,33,1798,1156,1128,28,3,23,0,12,0,426,0,170,3,0,26,0,0,0,75,87,174,2,1,0,1,0,45,0,0,0,0,4,3,1,1,0,2,4,68
76000021,7600,21,3778,2119,2078,41,7,63,0,4,15,84,2,22,2,0,26,1,0,0,258,766,504,4,0,0,0,0,10,0,0,0,2,0,2,4,9,0,1,2,297
