stat95,code,votes
70335,ד,2
70335,ז,2
70335,צ,2
70335,קך,2
70335,ט,1
70212,אמת,59
70212,ב,13
70212,ג,20
70212,יש,177
70212,כן,85
70212,ל,185
70212,ם,61
70212,מחל,349
70212,מרצ,23
70212,עם,2
70212,פה,4
70212,קנ,3
70212,שס,211
70212,זנ,2
70212,נץ,7
70212,ק,2
70212,קך,2
70212,רק,1
70213,אמת,69
70213,ב,28
70213,ג,30
70213,יש,433
70213,כן,130
70213,ל,384
70213,ם,93
70213,מחל,606
70213,מרצ,22
70213,נץ,12
70213,עם,4
70213,ף,4
70213,קנ,11
70213,שס,204
70213,ו,1
70213,ט,1
70213,קץ,1
70213,רק,2
70213,זנ,2
70213,צ,1
70213,צף,1
70213,קך,5
70213,פה,3
70213,ק,1
70214,ב,18
70214,ג,980
70214,זנ,5
70214,ט,1
70214,יש,205
70214,כן,66
70214,ל,260
70214,ם,202
70214,מחל,364
70214,מרצ,8
70214,נ,4
70214,עם,3
70214,צף,2
70214,ק,1
70214,קנ,8
70214,קץ,2
70214,שס,262
70214,אמת,33
70214,ד,1
70214,נץ,9
70214,פה,5
70214,קך,2
70214,רק,1
70333,אמת,308
70333,ב,62
70333,ג,25
70333,יש,426
70333,כן,42
70333,ל,192
70333,ם,82
70333,מחל,1052
70333,מרצ,107
70333,נ,5
70333,נץ,15
70333,עם,2
70333,פה,4
70333,צ,4
70333,צף,1
70333,שס,206
70333,זנ,4
70333,ט,3
70333,קנ,20
70333,רק,9
70333,קך,1
70333,ף,1
70333,ו,1
70332,אמת,117
70332,ב,32
70332,ג,7
70332,ז,1
70332,זנ,3
70332,יש,218
70332,כן,21
70332,ל,132
70332,ם,42
70332,מחל,570
70332,מרצ,51
70332,קנ,7
70332,רק,7
70332,שס,133
70332,נץ,8
70332,צ,2
70332,קך,1
70332,קץ,1
70332,נ,3
70332,ק,1
70323,אמת,178
70323,ב,54
70323,ג,20
70323,יש,359
70323,כן,32
70323,ל,134
70323,ם,101
70323,מחל,870
70323,מרצ,73
70323,נ,3
70323,נץ,7
70323,פה,3
70323,ק,2
70323,קנ,12
70323,רק,12
70323,שס,168
70323,ד,1
70323,ז,1
70323,זנ,3
70323,ט,2
70323,ו,1
70323,ף,2
70211,אמת,242
70211,ב,166
70211,ג,108
70211,זנ,3
70211,יש,940
70211,כן,355
70211,ל,1052
70211,ם,81
70211,מחל,1505
70211,מרצ,64
70211,נ,11
70211,פה,7
70211,צף,1
70211,קך,2
70211,קנ,24
70211,קץ,1
70211,שס,518
70211,ד,2
70211,נץ,25
70211,עם,3
70211,ף,1
70211,צ,2
70211,ו,2
70211,ק,2
70211,רק,3
70322,אמת,162
70322,ב,36
70322,ג,48
70322,ז,2
70322,יש,967
70322,כן,246
70322,ל,1070
70322,ם,31
70322,מחל,1199
70322,מרצ,56
70322,נץ,8
70322,קך,5
70322,קנ,25
70322,רק,12
70322,שס,232
70322,נ,3
70322,עם,2
70322,פה,4
70322,זנ,4
70322,ף,3
70322,ק,1
70322,ו,1
70326,אמת,124
70326,ב,12
70326,ג,17
70326,ט,1
70326,יש,783
70326,כן,293
70326,ל,909
70326,ם,40
70326,מחל,738
70326,מרצ,31
70326,נ,3
70326,נץ,8
70326,ף,3
70326,פה,11
70326,ק,4
70326,קך,4
70326,קנ,32
70326,שס,82
70326,רק,12
70326,ז,2
70326,צ,1
70326,ד,1
70326,ו,2
70325,אמת,163
70325,ב,24
70325,ג,26
70325,זנ,2
70325,יש,747
70325,כן,206
70325,ל,672
70325,ם,52
70325,מחל,1016
70325,מרצ,57
70325,נץ,11
70325,פה,4
70325,צף,1
70325,קנ,22
70325,שס,166
70325,ו,3
70325,ט,3
70325,נ,6
70325,ף,4
70325,רק,3
70325,ד,1
70325,ק,2
70325,קך,1
70325,עם,1
70137,ב,16
70137,ג,3110
70137,נץ,25
70137,שס,1129
70137,אמת,3
70137,מחל,12
70137,ם,2
70137,ז,1
70137,ל,1
70321,אמת,31
70321,ב,16
70321,ג,4
70321,ו,1
70321,זנ,2
70321,יש,177
70321,כן,64
70321,ל,179
70321,ם,4
70321,מחל,256
70321,מרצ,12
70321,נץ,2
70321,ק,1
70321,קנ,4
70321,רק,1
70321,שס,64
70321,פה,1
70321,קץ,1
70313,אמת,340
70313,ב,121
70313,ג,62
70313,יש,983
70313,כן,282
70313,ל,666
70313,ם,139
70313,מחל,2037
70313,מרצ,74
70313,עם,2
70313,קך,6
70313,קנ,31
70313,קץ,1
70313,שס,439
70313,זנ,13
70313,נץ,32
70313,רק,16
70313,פה,5
70313,נ,8
70313,ט,1
70313,ף,5
70313,צ,3
70313,ד,1
70313,ו,2
70313,ז,1
70313,ק,3
70331,אמת,144
70331,ב,65
70331,ג,28
70331,יש,410
70331,כן,40
70331,ל,189
70331,ם,77
70331,מחל,826
70331,מרצ,40
70331,נ,3
70331,נץ,15
70331,עם,2
70331,צף,1
70331,קנ,5
70331,שס,277
70331,ז,2
70331,צ,1
70331,רק,4
70331,ף,1
70331,פה,1
70331,זנ,2
71001,אמת,14
71001,ב,4
71001,ג,3
71001,ז,1
71001,יש,10
71001,ל,3
71001,ם,47
71001,מחל,56
71001,מרצ,2
71001,נץ,3
71001,קנ,1
71001,שס,16
74001,אמת,44
74001,ב,1
74001,יש,24
74001,כן,2
74001,ל,3
74001,ם,1
74001,מחל,16
74001,מרצ,69
74001,נ,1
74001,קנ,8
74001,קץ,1
74001,רק,1
74001,שס,3
76001,אמת,222
76001,ב,2
76001,ו,1
76001,יש,29
76001,כן,6
76001,ל,7
76001,ם,1
76001,מחל,20
76001,מרצ,41
76001,נ,2
76001,צ,1
76001,צף,1
76001,קנ,27
76001,רק,3
76001,שס,1
77001,אמת,250
77001,ו,1
77001,יש,54
77001,ל,7
77001,ם,24
77001,מחל,43
77001,מרצ,65
77001,פה,2
77001,קך,1
77001,קנ,24
77001,שס,104
77001,ג,2
77001,נ,1
77001,עם,1
77001,ף,1
77001,קץ,1
77001,רק,2
78001,אמת,100
78001,ב,1
78001,ג,1
78001,יש,18
78001,ל,1
78001,ם,1
78001,מחל,24
78001,מרצ,37
78001,נ,1
78001,נץ,1
78001,קנ,4
78001,רק,4
78001,שס,1
79001,אמת,184
79001,יש,35
79001,כן,2
79001,ל,6
79001,ם,4
79001,מחל,21
79001,מרצ,45
79001,נ,1
79001,נץ,1
79001,קנ,5
79001,קץ,3
79001,שס,4
80001,אמת,180
80001,ב,2
80001,ו,1
80001,ט,1
80001,יש,61
80001,כן,2
80001,ל,14
80001,ם,1
80001,מחל,106
80001,מרצ,35
80001,נ,3
80001,פה,1
80001,צ,1
80001,קנ,3
80001,קץ,1
80001,רק,6
82001,אמת,300
82001,ב,2
82001,ג,2
82001,יש,41
82001,כן,4
82001,ל,17
82001,ם,1
82001,מחל,34
82001,מרצ,48
82001,נ,3
82001,נץ,1
82001,קנ,15
82001,רק,3
84001,אמת,155
84001,ב,2
84001,יש,25
84001,כן,1
84001,ל,2
84001,ם,1
84001,מחל,25
84001,מרצ,18
84001,נ,2
84001,נץ,3
84001,פה,1
84001,קנ,5
84001,רק,2
84001,שס,5
85001,אמת,177
85001,ב,1
85001,יש,46
85001,ל,6
85001,ם,3
85001,מחל,55
85001,מרצ,32
85001,נץ,2
85001,קנ,9
85001,רק,4
86001,אמת,272
86001,ג,2
86001,יש,24
86001,ם,4
86001,מחל,9
86001,מרצ,35
86001,קנ,14
86001,שס,1
